id,numOfPunctuation,numOfPunctuationNorm,clickbaitWords,clickbaitWordsNorm,numOfNumerics,numOfNumericsNorm
858462320779026433,1,0.06666666666666667,0,0.0,0,0.0
858421020331560960,0,0.0,1,0.125,0,0.0
858368123753435136,3,0.2,0,0.0,1,0.125
858323428260139008,2,0.13333333333333333,0,0.0,0,0.0
858283602626347008,1,0.06666666666666667,0,0.0,0,0.0
858224473597779969,0,0.0,0,0.0,0,0.0
858222698367000577,3,0.2,0,0.0,0,0.0
858191667739987968,4,0.26666666666666666,0,0.0,0,0.0
858153572571197440,3,0.2,0,0.0,0,0.0
858150052782645249,0,0.0,0,0.0,0,0.0
858137811039465472,0,0.0,2,0.25,1,0.125
858070460814184448,3,0.2,1,0.125,1,0.125
858048368974733312,4,0.26666666666666666,2,0.25,0,0.0
858033553468252160,1,0.06666666666666667,0,0.0,0,0.0
858025529429065729,5,0.3333333333333333,3,0.375,0,0.0
857977494275846144,1,0.06666666666666667,1,0.125,3,0.375
857970008269496320,4,0.26666666666666666,0,0.0,0,0.0
857924202548088832,1,0.06666666666666667,0,0.0,0,0.0
857902233232527360,2,0.13333333333333333,0,0.0,1,0.125
857883874663120898,0,0.0,0,0.0,0,0.0
857818691471380481,4,0.26666666666666666,0,0.0,0,0.0
857681004047347713,0,0.0,0,0.0,1,0.125
857659646663962625,2,0.13333333333333333,0,0.0,0,0.0
857647139127558144,1,0.06666666666666667,4,0.5,0,0.0
857588031318110208,1,0.06666666666666667,1,0.125,0,0.0
857587134491893761,0,0.0,0,0.0,1,0.125
857543708828467200,2,0.13333333333333333,0,0.0,0,0.0
857542383784919040,0,0.0,0,0.0,0,0.0
857497306077302785,2,0.13333333333333333,0,0.0,0,0.0
857478939240955904,3,0.2,0,0.0,0,0.0
857417141758435328,4,0.26666666666666666,0,0.0,0,0.0
857416784953188352,2,0.13333333333333333,0,0.0,0,0.0
857403369601761281,8,0.5333333333333333,0,0.0,0,0.0
857402097976963075,5,0.3333333333333333,1,0.125,0,0.0
857366516186173440,1,0.06666666666666667,1,0.125,0,0.0
857320960063655936,0,0.0,0,0.0,0,0.0
857308307165466625,1,0.06666666666666667,2,0.25,0,0.0
857297814954659845,4,0.26666666666666666,0,0.0,0,0.0
857258494491332609,1,0.06666666666666667,0,0.0,0,0.0
857258494168367104,1,0.06666666666666667,1,0.125,0,0.0
857251677904228352,4,0.26666666666666666,0,0.0,0,0.0
857247620938559491,1,0.06666666666666667,0,0.0,0,0.0
857139702989824003,4,0.26666666666666666,1,0.125,0,0.0
857068231936364544,4,0.26666666666666666,0,0.0,0,0.0
857046844819558400,1,0.06666666666666667,0,0.0,0,0.0
856986260447125505,4,0.26666666666666666,0,0.0,0,0.0
856946762598277120,0,0.0,0,0.0,0,0.0
856942406339637249,6,0.4,0,0.0,0,0.0
856934629001056256,1,0.06666666666666667,1,0.125,0,0.0
856928814936588289,3,0.2,1,0.125,0,0.0
856877249412378624,2,0.13333333333333333,0,0.0,0,0.0
856780134199775232,0,0.0,0,0.0,0,0.0
856752936017416192,3,0.2,0,0.0,0,0.0
856693259988611072,5,0.3333333333333333,0,0.0,0,0.0
856692779883388928,4,0.26666666666666666,0,0.0,0,0.0
856681188328603650,3,0.2,0,0.0,0,0.0
856664601269850112,4,0.26666666666666666,0,0.0,0,0.0
856621318791462912,1,0.06666666666666667,0,0.0,0,0.0
856562464070094848,3,0.2,0,0.0,0,0.0
856492941795237888,1,0.06666666666666667,1,0.125,0,0.0
856474402157887488,1,0.06666666666666667,0,0.0,0,0.0
856458143248908288,3,0.2,0,0.0,0,0.0
856425253240786944,3,0.2,0,0.0,0,0.0
856369615852756994,0,0.0,1,0.125,0,0.0
856354300582297600,0,0.0,0,0.0,0,0.0
856311741474590720,1,0.06666666666666667,0,0.0,0,0.0
856286072996864001,1,0.06666666666666667,0,0.0,0,0.0
856232580991025153,1,0.06666666666666667,0,0.0,0,0.0
856203524631384066,4,0.26666666666666666,3,0.375,0,0.0
856199512880230405,2,0.13333333333333333,0,0.0,0,0.0
856198484495482880,4,0.26666666666666666,0,0.0,0,0.0
856161994419851265,1,0.06666666666666667,2,0.25,1,0.125
856113335783313408,0,0.0,0,0.0,0,0.0
856112780960833536,1,0.06666666666666667,0,0.0,0,0.0
856029381562683392,1,0.06666666666666667,0,0.0,1,0.125
856026219007156225,0,0.0,0,0.0,0,0.0
856017796370747392,0,0.0,2,0.25,1,0.125
855965425993175040,2,0.13333333333333333,0,0.0,0,0.0
855955661787627521,1,0.06666666666666667,1,0.125,0,0.0
855921918540746756,4,0.26666666666666666,0,0.0,0,0.0
855917932014186496,3,0.2,0,0.0,1,0.125
855913360151502850,5,0.3333333333333333,0,0.0,0,0.0
855851740389937152,1,0.06666666666666667,0,0.0,0,0.0
855795860751437824,6,0.4,1,0.125,1,0.125
855787287145263105,0,0.0,0,0.0,1,0.125
855743917584781312,2,0.13333333333333333,0,0.0,0,0.0
855731167114481664,0,0.0,0,0.0,0,0.0
855730809969545216,2,0.13333333333333333,0,0.0,2,0.25
855695165150949376,1,0.06666666666666667,0,0.0,0,0.0
855622164359327744,2,0.13333333333333333,0,0.0,0,0.0
855514887983955970,3,0.2,0,0.0,0,0.0
855496610448646146,2,0.13333333333333333,0,0.0,0,0.0
855420780628238339,0,0.0,0,0.0,0,0.0
855315209161916417,2,0.13333333333333333,0,0.0,0,0.0
855279932997595136,2,0.13333333333333333,1,0.125,0,0.0
855247160689934336,2,0.13333333333333333,1,0.125,0,0.0
855224570713956352,2,0.13333333333333333,0,0.0,0,0.0
855206973264072704,1,0.06666666666666667,0,0.0,0,0.0
855194637828542466,4,0.26666666666666666,0,0.0,0,0.0
855113853948055552,4,0.26666666666666666,1,0.125,0,0.0
855107177224302593,3,0.2,1,0.125,0,0.0
855078905975328768,1,0.06666666666666667,0,0.0,0,0.0
855049665410203651,1,0.06666666666666667,1,0.125,0,0.0
855043478895693825,1,0.06666666666666667,1,0.125,0,0.0
855026403783344128,1,0.06666666666666667,1,0.125,2,0.25
855011727418826756,4,0.26666666666666666,0,0.0,0,0.0
854996420268613633,1,0.06666666666666667,0,0.0,0,0.0
854938376671244289,2,0.13333333333333333,0,0.0,0,0.0
854858902630006787,2,0.13333333333333333,2,0.25,0,0.0
854832737949171712,0,0.0,1,0.125,1,0.125
854820706730639360,4,0.26666666666666666,1,0.125,0,0.0
854811886390476802,3,0.2,0,0.0,0,0.0
